0.012646	0.999561	0.033880
0.575100	0.784835	0.231895
0.117562	0.552731	0.825340
0.133363	0.543917	0.828803
0.012640	0.999131	0.046532
0.246744	0.912097	0.328434
0.157135	0.643019	0.750030
0.112580	0.992940	0.046129
0.129161	0.627947	0.767949
0.135777	0.456421	0.879775
0.149612	0.625762	0.766051
0.136476	0.624554	0.769512
0.012097	0.643861	0.765600
0.962583	0.153393	0.225297
0.367299	0.527954	0.766335
0.094132	0.653594	0.751584
0.242582	0.896680	0.371597
0.509427	0.860026	0.043081
0.258914	0.353340	0.899534
0.061198	0.520853	0.852077
0.308685	0.947859	0.085990
0.402542	0.863943	0.304501
0.047867	0.998628	0.040394
0.271542	0.583990	0.765866
0.214264	0.973428	0.089073
0.155559	0.636551	0.756315
0.004376	0.300575	0.954492
0.906691	0.354677	0.231395
0.134893	0.987778	0.086767
0.378194	0.363969	0.852056
0.112145	0.990692	0.086785
0.066361	0.965342	0.255557
0.214174	0.606640	0.766649
0.204291	0.978595	0.048073
0.114975	0.468585	0.876945
0.842302	0.533853	0.086035
0.405706	0.885317	0.231780
0.452562	0.166082	0.877331
0.007567	0.438734	0.899771
0.018105	0.945654	0.327962
0.903032	0.386305	0.193547
0.909229	0.409321	0.089131
0.237640	0.510079	0.827979
0.418681	0.489936	0.766104
0.177810	0.945000	0.279004
0.444970	0.815537	0.373363
0.895551	0.350199	0.279193
0.623891	0.778357	0.087023
0.016708	0.414935	0.911224
0.152872	0.625558	0.766877
0.445306	0.294729	0.847148
0.064069	0.935938	0.350487
0.022203	0.964847	0.267416
0.878199	0.444173	0.185764
0.271372	0.489972	0.830262
0.274959	0.395069	0.878318
0.140179	0.974649	0.183502
0.044683	0.474709	0.880893
0.494734	0.786664	0.373855
0.225522	0.948208	0.231584
0.035499	0.954136	0.303423
0.170679	0.619531	0.768738
0.062748	0.197686	0.980352
0.384786	0.538883	0.752348
0.066552	0.556480	0.831032
0.162306	0.510988	0.846996
0.176414	0.402603	0.900915
0.349617	0.921140	0.184785
0.222815	0.474889	0.854575
0.094963	0.434263	0.898818
0.503208	0.846958	0.186920
0.138054	0.963961	0.239293
0.031927	0.217079	0.978543
0.462739	0.827425	0.328110
0.165470	0.987519	0.062383
0.348027	0.793848	0.505331
0.664998	0.750366	0.040139
0.238009	0.974116	0.037121
0.019072	0.949366	0.326840
0.551414	0.334549	0.770388
0.222248	0.811670	0.549440
0.766360	0.284198	0.585199
0.269640	0.402214	0.881779
0.717916	0.664894	0.234092
0.125010	0.907416	0.419912
0.589254	0.799679	0.172482
0.123921	0.860608	0.511200
0.186838	0.298336	0.948646
0.620318	0.208638	0.778603
